1ao2,198,unknown NOE
1ao4,198,unknown NOE
1ay3,199, crash FC
1bfw,199, crash FC
1bx5,25, amber
1c2q,25, amber
1ccf,195, crash FC
1ckr,159, 0 converted 
1cur,25, amber
1evd,199, 3/48 converted
1exk,25, amber
1fmy,25, amber
1fv7,199, 72/186 converted
1h0q,25, amber
1i17,25, amber
1ie5,25, amber
1k2j,25, amber
1k2k,25, amber
1k8j,25, amber
1k8l,25, amber
1k8n,25, amber
1kbh,25, amber
1kqe,199, 800/2572 converted
1l1v,199, 122/214 converted
1lfu,159 0 converted
1n09,25, amber
1n0c,25, amber
1n0d,25, amber
1n87,25, amber
1n8c,25, amber
1nao,199, 0 filtered
1np9,25, amber
1onm,25, amber
1ozo,25, amber
1p1a,25, amber 0 parse 
1pqt,25, amber 0 parse
1pu1,25, amber
1pve,25, amber
1qms,25, amber
1qvk,25, amber
1qvl,25, amber
1r9v,199,unknown NOE
1ru5,25, amber
1rxr,25, amber
1s0t,25, amber
1s4a,199, amber
1s74,25, amber
1s75,25, amber
1ski,25, amber 0 parse
1skk,25, amber 0 parse
1skl,25, amber
1soc,199, too few distances
1tot,25, amber 0 parse
1tz4,25, amber
1tz5,25, amber
1uqa,25, amber
1uqb,25, amber
1uqc,25, amber
1uqd,25, amber
1uqe,25, amber
1uqf,25, amber
1uqg,25, amber
1vrc,157, didn't convert
1xt7,199, 22/51 converted
1yl9,199 0 converted
1ylg,25, amber 0 parse
1ync,25, amber
1yne,25, amber
1yng,25, amber
1ysv,25, amber
1z2d,25, amber
1z2e,25, amber
1z3r,25, amber
1z6h,25, amber
1z7p,25, amber
1z7r,25, amber
1z7t,25, amber
1zae,25, amber 0 parse
1zgg,25, amber
2ad9,25, amber
2adb,25, amber
2adc,25, amber
2ai6,25, amber
2aym,25, amber
2b0g,25, amber
2b5x,25, amber
2b5y,25, amber
2b9k,25, amber
2err,25, amber 0 parse
2evz,25, amber
2ew9,25, amber
2f3i,25, amber 0 parse
2fek,25, amber
2gcf,25, amber 0 parse
2gqk,25, amber
2gql,25, amber
2gqm,25, amber
2gt5,25, amber
2gt6,25, amber
2gvo,25, amber
2gvp,25, amber
2gzy,25, amber
2gzz,25, amber
2h0p,25, amber 0 parse
2hd7,25, amber 0 parse
2hf6,25. 0/6048 converted
2hli,25, amber 0 parse
2hmd,25, amber
2hmr,25, amber
2hna,25, amber
2hnb,25, amber 0 parse
2ho9,25, amber 0 parse
2i8l,25, amber 0 parse
2jqm,25, 1/274 converted
2jue,199, 25/285 converted
2k4g,25, 58/84 converted
2o4y,25 71/586 converted
2o9l,25, amber 0 parse
2otq,25, amber 0 parse
2ox2,25, amber
2ozw,25, amber
2ozx,25, amber
2p0p,25, odd parsed full I tried redoing these, but that broke them 
2p0q,25, odd parsed full 
2ro2,25, amber 0 parse
2rpk,25, amber 0 parse


